LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value,Flag Codes
AUS,HUR,TOT,PC_LF,1967,1.875,
AUS,HUR,TOT,PC_LF,1968,1.85,
AUS,HUR,TOT,PC_LF,1969,1.8,
AUS,HUR,TOT,PC_LF,1970,1.625,
AUS,HUR,TOT,PC_LF,1971,1.925,
AUS,HUR,TOT,PC_LF,1972,2.625,
AUS,HUR,TOT,PC_LF,1973,2.325,
AUS,HUR,TOT,PC_LF,1974,2.7,
AUS,HUR,TOT,PC_LF,1975,4.925,
AUS,HUR,TOT,PC_LF,1976,4.75,
AUS,HUR,TOT,PC_LF,1977,5.65,B
AUS,HUR,TOT,PC_LF,1978,6.442533,
AUS,HUR,TOT,PC_LF,1979,6.265499,
AUS,HUR,TOT,PC_LF,1980,6.106246,
AUS,HUR,TOT,PC_LF,1981,5.783571,
AUS,HUR,TOT,PC_LF,1982,7.156132,
AUS,HUR,TOT,PC_LF,1983,9.961594,
AUS,HUR,TOT,PC_LF,1984,8.98968,
AUS,HUR,TOT,PC_LF,1985,8.262986,
AUS,HUR,TOT,PC_LF,1986,8.081038,
AUS,HUR,TOT,PC_LF,1987,8.10804,
AUS,HUR,TOT,PC_LF,1988,7.227954,
AUS,HUR,TOT,PC_LF,1989,6.179825,
AUS,HUR,TOT,PC_LF,1990,6.923,
AUS,HUR,TOT,PC_LF,1991,9.576522,
AUS,HUR,TOT,PC_LF,1992,10.72814,
AUS,HUR,TOT,PC_LF,1993,10.87467,
AUS,HUR,TOT,PC_LF,1994,9.72219,
AUS,HUR,TOT,PC_LF,1995,8.472281,
AUS,HUR,TOT,PC_LF,1996,8.506114,
AUS,HUR,TOT,PC_LF,1997,8.362488,
AUS,HUR,TOT,PC_LF,1998,7.677429,
AUS,HUR,TOT,PC_LF,1999,6.873791,
AUS,HUR,TOT,PC_LF,2000,6.285546,
AUS,HUR,TOT,PC_LF,2001,6.742173,
AUS,HUR,TOT,PC_LF,2002,6.368911,
AUS,HUR,TOT,PC_LF,2003,5.92842,
AUS,HUR,TOT,PC_LF,2004,5.396734,
AUS,HUR,TOT,PC_LF,2005,5.033881,
AUS,HUR,TOT,PC_LF,2006,4.78524,
AUS,HUR,TOT,PC_LF,2007,4.379151,
AUS,HUR,TOT,PC_LF,2008,4.23433,
AUS,HUR,TOT,PC_LF,2009,5.560385,
AUS,HUR,TOT,PC_LF,2010,5.21334,
AUS,HUR,TOT,PC_LF,2011,5.081195,
AUS,HUR,TOT,PC_LF,2012,5.223376,
AUS,HUR,TOT,PC_LF,2013,5.66194,
AUS,HUR,TOT,PC_LF,2014,6.077244,
AUS,HUR,TOT,PC_LF,2015,6.056423,
AUS,HUR,TOT,PC_LF,2016,5.710809,
AUS,HUR,TOT,PC_LF,2017,5.595881,
AUS,HUR,TOT,PC_LF,2018,5.30767,
AUS,HUR,TOT,PC_LF,2019,5.166878,
AUS,HUR,TOT,PC_LF,2020,6.463281,
AUS,HUR,TOT,PC_LF,2021,5.113525,
AUT,HUR,TOT,PC_LF,1993,3.958333,
AUT,HUR,TOT,PC_LF,1994,4.241667,
AUT,HUR,TOT,PC_LF,1995,4.241667,
AUT,HUR,TOT,PC_LF,1996,4.733333,
